"","Timestamp","Machine","Temperature","Pressure","PartLength","PartResistance"
"1",2022-03-08 00:00:00,1,303,100,48.8759395965167,6.80149452688614
"2",2022-03-08 00:00:05,1,303,100,49.3460907491406,6.83109700772429
"3",2022-03-08 00:00:10,1,303,100,49.5526880779997,6.92656529087306
"4",2022-03-08 00:00:15,1,303,100,47.9164177037348,6.43834566446434
"5",2022-03-08 00:00:20,1,303,100,48.715037837469,6.79564895606242
"6",2022-03-08 00:00:25,1,303,100,49.146501408431,6.35761378777267
"7",2022-03-08 00:00:30,1,303,100,48.4574677306986,6.92401482170055
"8",2022-03-08 00:00:35,1,303,100,49.9523434960312,6.77790209842996
"9",2022-03-08 00:00:40,1,303,100,50.3523314323788,6.70755147834021
"10",2022-03-08 00:00:45,1,303,100,48.7366488620453,6.47666496713167
"11",2022-03-08 00:00:50,1,303,100,47.3493088652564,6.56480915323734
"12",2022-03-08 00:00:55,1,303,100,50.2407995761979,6.45597949758294
"13",2022-03-08 00:01:00,1,303,100,50.2646959992711,7.22827717723927
"14",2022-03-08 00:01:05,1,303,100,47.8276710680847,6.74540837044702
"15",2022-03-08 00:01:10,1,303,100,48.5203041727242,6.93491444165935
"16",2022-03-08 00:01:15,1,303,100,48.9354317085884,6.70033109394129
"17",2022-03-08 00:01:20,1,303,100,48.9571303599537,6.68953450055933
"18",2022-03-08 00:01:25,1,303,100,47.2188013897654,6.95202757854312
"19",2022-03-08 00:01:30,1,303,100,47.7330406117081,6.25185760497947
"20",2022-03-08 00:01:35,1,303,100,48.2851460878746,6.31447704712641
"21",2022-03-08 00:01:40,1,303,100,49.2082246024301,6.74593343874067
"22",2022-03-08 00:01:45,1,303,100,48.1104204062691,7.04111784252416
"23",2022-03-08 00:01:50,1,303,100,50.8124680044295,7.14418913938465
"24",2022-03-08 00:01:55,1,303,100,48.8190623981136,6.62382380777276
"25",2022-03-08 00:02:00,1,303,100,47.9672946345277,6.33814287004708
"26",2022-03-08 00:02:05,1,303,100,49.570566752605,6.58484210103408
"27",2022-03-08 00:02:10,1,303,100,47.7026247928939,7.12635166461524
"28",2022-03-08 00:02:15,1,303,100,48.1756746142609,6.62124370984727
"29",2022-03-08 00:02:20,1,303,100,48.7480455428288,6.72064298462849
"30",2022-03-08 00:02:25,1,303,100,49.3957961641794,6.66657867331183
"31",2022-03-08 00:02:30,1,303,100,49.5146742988183,6.53920109857833
"32",2022-03-08 00:02:35,1,303,100,49.0426546725241,6.51662405353149
"33",2022-03-08 00:02:40,1,303,100,49.1114008065861,6.7993761580879
"34",2022-03-08 00:02:45,1,303,100,48.989270443195,6.7990742182621
"35",2022-03-08 00:02:50,1,303,100,49.4300302425575,7.05146429790445
"36",2022-03-08 00:02:55,1,303,100,49.9443159551143,6.45570244420799
"37",2022-03-08 00:03:00,1,303,100,47.2925675731305,6.74924894866555
"38",2022-03-08 00:03:05,1,303,100,50.0879414709638,6.70184125905475
"39",2022-03-08 00:03:10,1,303,100,49.0026402640858,6.58641574906697
